Date : 2025-05-14 11:16:25
Directory : /Users/neilluo/workspaces/storage/godis
Total : 145 files,  21127 codes, 1456 comments, 2613 blanks, all 25196 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/neilluo/workspaces/storage/godis/cluster/commands/tcc_utils.go             | Go               |         52 |          5 |         10 |         67 |
| /Users/neilluo/workspaces/storage/godis/cluster/core/command.go                   | Go               |         56 |          7 |         11 |         74 |
| /Users/neilluo/workspaces/storage/godis/cluster/core/connection.go                | Go               |        153 |          7 |         20 |        180 |
| /Users/neilluo/workspaces/storage/godis/cluster/core/connection_inmem.go          | Go               |         67 |          2 |         16 |         85 |
| /Users/neilluo/workspaces/storage/godis/cluster/core/core.go                      | Go               |        157 |          6 |         20 |        183 |
| /Users/neilluo/workspaces/storage/godis/cluster/core/core_test.go                 | Go               |        212 |         12 |         15 |        239 |
| /Users/neilluo/workspaces/storage/godis/cluster/core/cron.go                      | Go               |         32 |          1 |          4 |         37 |
| /Users/neilluo/workspaces/storage/godis/cluster/core/migration.go                 | Go               |        260 |         19 |         23 |        302 |
| /Users/neilluo/workspaces/storage/godis/cluster/core/node_manager.go              | Go               |        221 |         18 |         21 |        260 |
| /Users/neilluo/workspaces/storage/godis/cluster/core/replica_manager.go           | Go               |        126 |         11 |         19 |        156 |
| /Users/neilluo/workspaces/storage/godis/cluster/core/tcc.go                       | Go               |        119 |         17 |         26 |        162 |
| /Users/neilluo/workspaces/storage/godis/cluster/core/tests.go                     | Go               |         37 |          3 |          4 |         44 |
| /Users/neilluo/workspaces/storage/godis/cluster/core/utils.go                     | Go               |         72 |         11 |         16 |         99 |
| /Users/neilluo/workspaces/storage/godis/cluster/raft/fsm.go                       | Go               |        171 |         20 |         20 |        211 |
| /Users/neilluo/workspaces/storage/godis/cluster/raft/fsm_utils.go                 | Go               |         92 |         12 |         10 |        114 |
| /Users/neilluo/workspaces/storage/godis/cluster/raft/raft.go                      | Go               |        183 |          8 |         21 |        212 |
| /Users/neilluo/workspaces/storage/godis/cluster/raft/utils.go                     | Go               |         33 |          1 |          9 |         43 |
| /Users/neilluo/workspaces/storage/godis/commands.md                               | Markdown         |        114 |          0 |          1 |        115 |
| /Users/neilluo/workspaces/storage/godis/config/config.go                          | Go               |        137 |         10 |         17 |        164 |
| /Users/neilluo/workspaces/storage/godis/config/config_test.go                     | Go               |         25 |          0 |          3 |         28 |
| /Users/neilluo/workspaces/storage/godis/database/aof_test.go                      | Go               |        263 |          9 |         16 |        288 |
| /Users/neilluo/workspaces/storage/godis/database/cluster_helper.go                | Go               |        117 |         13 |         10 |        140 |
| /Users/neilluo/workspaces/storage/godis/database/cluster_helper_test.go           | Go               |         51 |          1 |          6 |         58 |
| /Users/neilluo/workspaces/storage/godis/database/commandinfo.go                   | Go               |        115 |          2 |         10 |        127 |
| /Users/neilluo/workspaces/storage/godis/database/commandinfo_test.go              | Go               |         18 |          0 |          3 |         21 |
| /Users/neilluo/workspaces/storage/godis/database/database.go                      | Go               |        236 |         44 |         40 |        320 |
| /Users/neilluo/workspaces/storage/godis/database/doc.go                           | Go               |          1 |         17 |          2 |         20 |
| /Users/neilluo/workspaces/storage/godis/database/geo.go                           | Go               |        244 |         12 |         23 |        279 |
| /Users/neilluo/workspaces/storage/godis/database/geo_test.go                      | Go               |         95 |          0 |          8 |        103 |
| /Users/neilluo/workspaces/storage/godis/database/hash.go                          | Go               |        488 |         35 |         63 |        586 |
| /Users/neilluo/workspaces/storage/godis/database/hash_test.go                     | Go               |        339 |         17 |         38 |        394 |
| /Users/neilluo/workspaces/storage/godis/database/keys.go                          | Go               |        429 |         25 |         57 |        511 |
| /Users/neilluo/workspaces/storage/godis/database/keys_test.go                     | Go               |        347 |         11 |         40 |        398 |
| /Users/neilluo/workspaces/storage/godis/database/list.go                          | Go               |        599 |         41 |         76 |        716 |
| /Users/neilluo/workspaces/storage/godis/database/list_test.go                     | Go               |        535 |         25 |         62 |        622 |
| /Users/neilluo/workspaces/storage/godis/database/persistence.go                   | Go               |        118 |          5 |          9 |        132 |
| /Users/neilluo/workspaces/storage/godis/database/persistence_test.go              | Go               |         79 |          1 |          7 |         87 |
| /Users/neilluo/workspaces/storage/godis/database/replication_master.go            | Go               |        396 |         26 |         41 |        463 |
| /Users/neilluo/workspaces/storage/godis/database/replication_master_test.go       | Go               |        283 |          6 |         27 |        316 |
| /Users/neilluo/workspaces/storage/godis/database/replication_slave.go             | Go               |        395 |         33 |         39 |        467 |
| /Users/neilluo/workspaces/storage/godis/database/replication_slave_test.go        | Go               |        225 |         11 |         15 |        251 |
| /Users/neilluo/workspaces/storage/godis/database/router.go                        | Go               |         86 |          6 |         12 |        104 |
| /Users/neilluo/workspaces/storage/godis/database/server.go                        | Go               |        365 |         42 |         42 |        449 |
| /Users/neilluo/workspaces/storage/godis/database/set.go                           | Go               |        378 |         20 |         37 |        435 |
| /Users/neilluo/workspaces/storage/godis/database/set_test.go                      | Go               |        247 |         10 |         31 |        288 |
| /Users/neilluo/workspaces/storage/godis/database/sortedset.go                     | Go               |        761 |         40 |         86 |        887 |
| /Users/neilluo/workspaces/storage/godis/database/sortedset_test.go                | Go               |        554 |        107 |        150 |        811 |
| /Users/neilluo/workspaces/storage/godis/database/string.go                        | Go               |        796 |         28 |         64 |        888 |
| /Users/neilluo/workspaces/storage/godis/database/string_test.go                   | Go               |        701 |         11 |        104 |        816 |
| /Users/neilluo/workspaces/storage/godis/database/systemcmd.go                     | Go               |        150 |         23 |         11 |        184 |
| /Users/neilluo/workspaces/storage/godis/database/systemcmd_test.go                | Go               |         69 |          0 |          8 |         77 |
| /Users/neilluo/workspaces/storage/godis/database/transaction.go                   | Go               |        152 |         14 |         14 |        180 |
| /Users/neilluo/workspaces/storage/godis/database/transaction_test.go              | Go               |        111 |          0 |          7 |        118 |
| /Users/neilluo/workspaces/storage/godis/database/tx_utils.go                      | Go               |        158 |          2 |         15 |        175 |
| /Users/neilluo/workspaces/storage/godis/database/tx_utils_test.go                 | Go               |        166 |          5 |         16 |        187 |
| /Users/neilluo/workspaces/storage/godis/database/util_test.go                     | Go               |         12 |          0 |          3 |         15 |
| /Users/neilluo/workspaces/storage/godis/datastruct/bitmap/bitmap.go               | Go               |         86 |          2 |         13 |        101 |
| /Users/neilluo/workspaces/storage/godis/datastruct/bitmap/bitmap_test.go          | Go               |        159 |          3 |          7 |        169 |
| /Users/neilluo/workspaces/storage/godis/datastruct/dict/concurrent.go             | Go               |        420 |         17 |         52 |        489 |
| /Users/neilluo/workspaces/storage/godis/datastruct/dict/concurrent_test.go        | Go               |        514 |         24 |         37 |        575 |
| /Users/neilluo/workspaces/storage/godis/datastruct/dict/dict.go                   | Go               |         16 |          2 |          3 |         21 |
| /Users/neilluo/workspaces/storage/godis/datastruct/dict/simple.go                 | Go               |        117 |         13 |         16 |        146 |
| /Users/neilluo/workspaces/storage/godis/datastruct/dict/simple_test.go            | Go               |         78 |          0 |          5 |         83 |
| /Users/neilluo/workspaces/storage/godis/datastruct/list/interface.go              | Go               |         18 |          3 |          4 |         25 |
| /Users/neilluo/workspaces/storage/godis/datastruct/list/linked.go                 | Go               |        246 |         22 |         24 |        292 |
| /Users/neilluo/workspaces/storage/godis/datastruct/list/linked_test.go            | Go               |        239 |          0 |         19 |        258 |
| /Users/neilluo/workspaces/storage/godis/datastruct/list/quicklist.go              | Go               |        326 |         37 |         28 |        391 |
| /Users/neilluo/workspaces/storage/godis/datastruct/list/quicklist_test.go         | Go               |        244 |          1 |         17 |        262 |
| /Users/neilluo/workspaces/storage/godis/datastruct/lock/lock_map.go               | Go               |        137 |         14 |         18 |        169 |
| /Users/neilluo/workspaces/storage/godis/datastruct/set/set.go                     | Go               |        144 |         17 |         20 |        181 |
| /Users/neilluo/workspaces/storage/godis/datastruct/set/set_test.go                | Go               |         57 |          0 |          4 |         61 |
| /Users/neilluo/workspaces/storage/godis/datastruct/sortedset/border.go            | Go               |        161 |         15 |         25 |        201 |
